Batch,Number,Day,Sex,Coat Color,Star?,Weight,Temperature,Accuri Count,Parasitemia,Lived?,Experimental Start Date,Description
Albus,1,0,F,Agouti,0,25.5,36.7,13120,0,1,9/11/2016,DO
Albus,1,5,F,Agouti,0,24.8,38.1,11490,0,1,9/11/2016,DO
Albus,1,6,F,Agouti,0,24.5,36.4,6465.5,0.007072136,1,9/11/2016,DO
Albus,1,7,F,Agouti,0,23.9,35.8,10027.5,0,1,9/11/2016,DO
Albus,1,8,F,Agouti,0,22.7,37.5,12561,0.003875969,1,9/11/2016,DO
Albus,1,9,F,Agouti,0,23.2,37.8,8221,0.003807107,1,9/11/2016,DO
Albus,1,10,F,Agouti,0,23.1,37.3,8087,0.005494505,1,9/11/2016,DO
Albus,1,11,F,Agouti,0,22.4,37.2,15636,0.032305433,1,9/11/2016,DO
Albus,1,12,F,Agouti,0,23.4,35.7,10056,0.150176678,1,9/11/2016,DO
Albus,1,13,F,Agouti,0,22.9,35.6,3349,0.166340509,1,9/11/2016,DO
Albus,1,14,F,Agouti,0,22,34.7,2402,0.130514706,1,9/11/2016,DO
Albus,1,15,F,Agouti,0,21.9,36.4,5567,0.023897059,1,9/11/2016,DO
Albus,1,18,F,Agouti,0,23.1,35.7,,,1,9/11/2016,DO
Albus,1,19,F,Agouti,0,22.7,36.3,,,1,9/11/2016,DO
Albus,1,20,F,Agouti,0,23,37.6,,,1,9/11/2016,DO
Albus,1,21,F,Agouti,0,22.8,36.1,,,1,9/11/2016,DO
Albus,1,22,F,Agouti,0,22.6,36.8,,,1,9/11/2016,DO
Albus,1,24,F,Agouti,0,23.3,36.7,,,1,9/11/2016,DO
Albus,1,25,F,Agouti,0,22.99,36.3,,,1,9/11/2016,DO
Albus,1,26,F,Agouti,0,22.9,37.3,17135,,1,9/11/2016,DO
Albus,2,0,F,Agouti,0,18.6,37.3,15249,0,1,9/11/2016,DO
Albus,2,5,F,Agouti,0,18.6,37.4,11239,0.029787,1,9/11/2016,DO
Albus,2,6,F,Agouti,0,18.3,37.6,11148,0.077889447,1,9/11/2016,DO
Albus,2,7,F,Agouti,0,17.9,37.6,10240,0.190578158,1,9/11/2016,DO
Albus,2,8,F,Agouti,0,16.8,35.9,5511,0.283146067,1,9/11/2016,DO
Albus,2,9,F,Agouti,0,17,35.8,4131,0.190839695,1,9/11/2016,DO
Albus,2,10,F,Agouti,0,17.1,36.9,3694,0.072072072,1,9/11/2016,DO
Albus,2,11,F,Agouti,0,16.2,36.2,6961,0.077319588,1,9/11/2016,DO
Albus,2,12,F,Agouti,0,17.3,38.1,4405,0.082938389,1,9/11/2016,DO
Albus,2,13,F,Agouti,0,17.4,37.6,4233,0.031862745,1,9/11/2016,DO
Albus,2,14,F,Agouti,0,17.4,36.1,7589,0.038901602,1,9/11/2016,DO
Albus,2,15,F,Agouti,0,17.3,37.1,10511,0.018018018,1,9/11/2016,DO
Albus,2,18,F,Agouti,0,17.7,37.6,,,1,9/11/2016,DO
Albus,2,19,F,Agouti,0,17.4,35.9,,,1,9/11/2016,DO
Albus,2,20,F,Agouti,0,17.6,37.6,,,1,9/11/2016,DO
Albus,2,21,F,Agouti,0,17.7,35.2,,,1,9/11/2016,DO
Albus,2,22,F,Agouti,0,16.7,36.8,,,1,9/11/2016,DO
Albus,2,24,F,Agouti,0,17.3,36.3,,,1,9/11/2016,DO
Albus,2,25,F,Agouti,0,16.79,34.7,,,1,9/11/2016,DO
Albus,2,26,F,Agouti,0,16.99,37.5,14895,,1,9/11/2016,DO
Albus,3,0,F,Agouti,0,31.5,38.4,14838,0,1,9/11/2016,DO
Albus,3,5,F,Agouti,0,30.7,37.8,12956,0.055944056,1,9/11/2016,DO
Albus,3,6,F,Agouti,0,30.1,37.9,12583,0.159793814,1,9/11/2016,DO
Albus,3,7,F,Agouti,0,29,37.3,9654,0.294363257,1,9/11/2016,DO
Albus,3,8,F,Agouti,0,27.7,34.9,3503,0.161572052,1,9/11/2016,DO
Albus,3,9,F,Agouti,0,27.2,36.4,4150,0.062622309,1,9/11/2016,DO
Albus,3,10,F,Agouti,0,27.1,37.7,3889,0.016055046,1,9/11/2016,DO
Albus,3,11,F,Agouti,0,26,38.5,7038,0.003875969,1,9/11/2016,DO
Albus,3,12,F,Agouti,0,26.1,38.2,7871,0.004555809,1,9/11/2016,DO
Albus,3,13,F,Agouti,0,25.9,39.1,9382,0,1,9/11/2016,DO
Albus,3,14,F,Agouti,0,26.2,38.6,5647,0,1,9/11/2016,DO
Albus,3,15,F,Agouti,0,24.4,39.1,10225,0,1,9/11/2016,DO
Albus,3,18,F,Agouti,0,26.5,37.2,,,1,9/11/2016,DO
Albus,3,19,F,Agouti,0,26.1,38.9,,,1,9/11/2016,DO
Albus,3,20,F,Agouti,0,25.8,38.9,,,1,9/11/2016,DO
Albus,3,21,F,Agouti,0,26.2,37.5,,,1,9/11/2016,DO
Albus,3,22,F,Agouti,0,26.1,38.4,,,1,9/11/2016,DO
Albus,3,24,F,Agouti,0,26,38.3,,,1,9/11/2016,DO
Albus,3,25,F,Agouti,0,25.52,38.1,,,1,9/11/2016,DO
Albus,3,26,F,Agouti,0,25.8,38.2,17300,,1,9/11/2016,DO
Albus,4,0,F,White,0,23.3,37.9,14342,0,1,9/11/2016,DO
Albus,4,5,F,White,0,24.2,36.7,16531,0.0375,1,9/11/2016,DO
Albus,4,6,F,White,0,24.2,36.7,15610,0.100616016,1,9/11/2016,DO
Albus,4,7,F,White,0,24,37.2,9155,0.197508897,1,9/11/2016,DO
