# covariate data for axiom7,,,,
# nrow 501,,,,
# ncol 5,,,,
id,Sex,Batch,ngen,StartDate
Schneider_A01,F,1,G23L2,9/11/2016
Schneider_A02,F,1,G23L2,9/11/2016
Schneider_A03,F,1,G23L2,9/11/2016
Schneider_A04,F,1,G23L2,9/11/2016
Schneider_A05,F,1,G23L2,9/11/2016
Schneider_A06,F,1,G23L2,9/11/2016
Schneider_A07,F,1,G23L2,9/11/2016
Schneider_A08,F,1,G23L2,9/11/2016
Schneider_A09,F,1,G23L2,9/11/2016
Schneider_A10,F,1,G23L2,9/11/2016
Schneider_A11,F,1,G23L2,9/11/2016
Schneider_A12,F,1,G23L2,9/11/2016
Schneider_A13,F,1,G23L2,9/11/2016
Schneider_A14,F,1,G23L2,9/11/2016
Schneider_A15,F,1,G23L2,9/11/2016
Schneider_A16,F,1,G23L2,9/11/2016
Schneider_A17,F,1,G23L2,9/11/2016
Schneider_A18,F,1,G23L2,9/11/2016
Schneider_A19,F,1,G23L2,9/11/2016
Schneider_A20,F,1,G23L2,9/11/2016
Schneider_A21,F,1,G23L2,9/11/2016
Schneider_A22,F,1,G23L2,9/11/2016
Schneider_A23,F,1,G23L2,9/11/2016
Schneider_A24,F,1,G23L2,9/11/2016
Schneider_A25,F,1,G23L2,9/11/2016
Schneider_A26,F,1,G23L2,10/6/2016
Schneider_A27,F,1,G23L2,10/6/2016
Schneider_A28,F,1,G23L2,10/6/2016
Schneider_A29,F,1,G23L2,10/6/2016
Schneider_A30,F,1,G23L2,10/6/2016
Schneider_A31,F,1,G23L2,10/6/2016
Schneider_A32,F,1,G23L2,10/6/2016
Schneider_A33,F,1,G23L2,10/6/2016
Schneider_A34,F,1,G23L2,10/6/2016
Schneider_A35,F,1,G23L2,10/6/2016
Schneider_A36,F,1,G23L2,10/6/2016
Schneider_A37,F,1,G23L2,10/6/2016
Schneider_A38,F,1,G23L2,10/6/2016
Schneider_A39,F,1,G23L2,10/6/2016
Schneider_A40,F,1,G23L2,10/6/2016
Schneider_A41,F,1,G23L2,10/6/2016
Schneider_A42,F,1,G23L2,10/6/2016
Schneider_A43,F,1,G23L2,10/6/2016
Schneider_A44,F,1,G23L2,10/6/2016
Schneider_A45,F,1,G23L2,10/6/2016
Schneider_A46,F,1,G23L2,10/6/2016
Schneider_A47,F,1,G23L2,10/6/2016
Schneider_A48,F,1,G23L2,10/6/2016
Schneider_A49,F,1,G23L2,10/6/2016
Schneider_A52,F,1,G23L2,10/6/2016
Schneider_C093,F,2,G25,2/23/2017
Schneider_C094,F,2,G25,2/23/2017
Schneider_C095,F,2,G25,2/23/2017
Schneider_C096,F,2,G25,2/23/2017
Schneider_C097,F,2,G25,2/23/2017
Schneider_C098,F,2,G25,2/23/2017
Schneider_C099,F,2,G25,2/23/2017
Schneider_C100,F,2,G25,2/23/2017
Schneider_C101,F,2,G25,2/23/2017
Schneider_C102,F,2,G25,2/23/2017
Schneider_C103,F,2,G25,2/23/2017
Schneider_C104,F,2,G25,2/23/2017
Schneider_C105,F,2,G25,2/23/2017
Schneider_C106,F,2,G25,2/23/2017
